epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4458,3.70016,4.36278,4.04577,0.001,0.17963,0.00137,0.00034,3.85214,3.9886,4.19061,0.000551425,0.000551425,0.000551425
2,67.9306,3.01172,3.69164,3.28885,0.57808,0.07818,0.03691,0.00912,2.87876,4.82554,3.04106,0.00109248,0.00109248,0.00109248
3,98.7779,2.71469,3.20371,2.90543,0.23801,0.08986,0.05456,0.01458,2.78233,4.38367,2.96518,0.00161886,0.00161886,0.00161886
4,129.404,2.57004,3.01595,2.76201,0.61536,0.12364,0.085,0.02095,2.59294,3.69504,2.6422,0.00160099,0.00160099,0.00160099
5,159.833,2.39691,2.75499,2.58169,0.64662,0.1,0.09325,0.02786,2.50714,3.25101,2.59064,0.00157898,0.00157898,0.00157898
6,190.753,2.26251,2.5794,2.49632,0.2374,0.23731,0.14486,0.04327,2.4036,3.2698,2.52881,0.00155698,0.00155698,0.00155698
7,221.946,2.17936,2.47523,2.4107,0.2285,0.21054,0.14861,0.045,2.34029,3.04821,2.49936,0.00153497,0.00153497,0.00153497
8,254.038,2.09711,2.35248,2.32398,0.34474,0.30957,0.28456,0.10874,2.11449,2.25567,2.31105,0.00151297,0.00151297,0.00151297
9,285.682,2.04705,2.25426,2.26369,0.34899,0.35152,0.29611,0.11652,2.06834,2.14046,2.23336,0.00149096,0.00149096,0.00149096
10,317.261,1.99979,2.20124,2.21472,0.41831,0.37036,0.34659,0.14217,2.04958,2.15433,2.17991,0.00146896,0.00146896,0.00146896
11,349.007,1.93275,2.09573,2.15006,0.40693,0.29375,0.29653,0.1159,2.09527,2.27962,2.25554,0.00144696,0.00144696,0.00144696
12,380.848,1.90181,2.04751,2.12223,0.51899,0.41632,0.43971,0.17634,1.97119,1.90288,2.11205,0.00142495,0.00142495,0.00142495
13,412.611,1.88735,2.00386,2.08024,0.58092,0.4578,0.49625,0.21336,1.88668,1.79961,2.03382,0.00140295,0.00140295,0.00140295
14,444.343,1.8369,1.96407,2.06015,0.53955,0.46672,0.49737,0.23305,1.82703,1.6637,1.97624,0.00138094,0.00138094,0.00138094
15,475.905,1.829,1.88478,2.02392,0.5392,0.4734,0.48295,0.22865,1.83651,1.87602,2.02977,0.00135894,0.00135894,0.00135894
16,507.529,1.79143,1.8587,1.99918,0.64999,0.51137,0.55213,0.25014,1.79932,1.70045,1.96854,0.00133693,0.00133693,0.00133693
17,539.224,1.75198,1.8497,1.98618,0.61716,0.51813,0.55127,0.25759,1.70345,1.66036,1.88496,0.00131493,0.00131493,0.00131493
18,571.047,1.77452,1.79004,1.94397,0.65468,0.53124,0.60393,0.3065,1.66301,1.53999,1.87577,0.00129293,0.00129293,0.00129293
19,603.001,1.72355,1.72747,1.92213,0.62953,0.58239,0.61161,0.27849,1.816,1.50564,1.9428,0.00127092,0.00127092,0.00127092
20,634.777,1.72238,1.70361,1.9256,0.6136,0.48589,0.52558,0.24886,1.79659,1.78069,1.98718,0.00124892,0.00124892,0.00124892
21,666.611,1.70549,1.69357,1.90626,0.67249,0.55296,0.61279,0.29551,1.72215,1.47254,1.89347,0.00122691,0.00122691,0.00122691
22,698.769,1.71117,1.67905,1.88659,0.65819,0.56907,0.61917,0.3091,1.61962,1.50509,1.84136,0.00120491,0.00120491,0.00120491
23,730.788,1.67087,1.63108,1.86826,0.787,0.55586,0.67299,0.34977,1.59718,1.4136,1.80099,0.0011829,0.0011829,0.0011829
24,762.69,1.67867,1.6421,1.86265,0.73631,0.56811,0.63488,0.33918,1.61928,1.45076,1.81664,0.0011609,0.0011609,0.0011609
